Identifier,Title,ShortTitle,ValueType
CS-deathcanrateu75,"Deaths per 100,000 population from all cancers (under 75s)",Cancer death rate (u75s),ratio
CS-deathchdrateu75,"Deaths per 100,000 population from coronary heart disease (under 75s)",CHD death rate (u75s),ratio
CS-deathsalcohol,Number of deaths from alcohol related diseases,Number of Alcohol disease deaths,count
CS-deathsalcrate,"Deaths per 100,000 population from alcohol related diseases",Alcohol diseases death rate,ratio
CS-deathscancer,Number of deaths from all cancers (under 75s),Number of cancer deaths (u75s),count
CS-deathschd,Number of deaths from coronary heart disease (under 75s),Number of CHD deaths (u75s),count
CS-deathsdfu75all,Deaths females under 75 all causes,Deaths f < 75 all causes,count
CS-deathsfu75cancer,Deaths females under 75 cancer,Deaths f < 75 cancer,count
CS-deathsfu75chd,Deaths females under 75 CHD,Deaths f < 75 CHD,count
CS-deathsfu75stroke,Deaths females under 75 stroke,Deaths f < 75 stroke,count
CS-deathsmidyear,Deaths which occurred from mid-previous year to mid-specified year,Deaths occurring mid-previous to mid-specified year,count
CS-deathsmu75all,Deaths males under 75 all causes,Deaths m < 75 all causes,count
CS-deathsmu75cancer,Deaths males under 75 cancer,Deaths m < 75 cancer,count
CS-deathsmu75chd,Deaths males under 75 CHD,Deaths m < 75 CHD,count
CS-deathsmu75stroke,Deaths males under 75 stroke,Deaths m < 75 stroke,count
CS-decacc1,Geographic Access to Services Deprivation Decile,Geographic Access to Services Deprivation Decile,rank
CS-decaccdt1,Geographic Access to Services (Drive Times) Deprivation Decile,Drive Times Deprivation Decile,rank
CS-decaccpt1,Geographic Access to Services (Public Transport) Deprivation Decile,Public Transport Deprivation Decile,rank
CS-deccrim1,Crime Deprivation Decile,Crime Deprivation Decile,rank
CS-deceduc1,"Education, Skills and Training Deprivation Decile","Education, Skills and Training Deprivation Decile",rank
CS-decemp1,Employment Deprivation Decile,Employment Deprivation Decile,rank
CS-decheal1,Health Deprivation Decile,Health Deprivation Decile,rank
CS-dechous1,Housing Deprivation Decile,Housing Deprivation Decile,rank
CS-decinc1,Current Income Deprivation Decile,Current Income Deprivation Decile,rank
CS-decsimd1,Scottish Index of Multiple Deprivation Decile,Scottish Index of Multiple Deprivation Decile,rank
CS-DERdpctpop1,Percentage of people within 0-500 metres of a Site Derelict pre 1991,Percentage of people within 0-500 metres of a Site Derelict pre 1991,ratio
CS-DERdpctpop2,Percentage of people within 0-500 metres of any Derelict Site,Percentage of people within 0-500 metres of any Derelict Site,ratio
CS-derelictland,Derelict land (Hectares),Derelict land (Hectares),sum
CS-driveatm1,Drive time to a Cash Machine,Drive time (in minutes) to a Cash Machine,rank
CS-drivebank1,Drive time to Banks and Building Societies,Drive time (in minutes) to Banks and Building Societies,rank
CS-drivecas1,Drive time to Citizens Advice Bureau,Drive time (in minutes) to Citizens Advice Bureau,rank
CS-drivechemist1,Drive time to Chemists and Pharmacies,Drive time (in minutes) to Chemists and Pharmacies,rank
CS-drivefuredu1,Drive time to a Further Education Establishment,Drive time (in minutes) to a Further Education Establishment,rank
CS-drivegenstore1,Drive time to a General Store,Drive time (in minutes) to a General Store,rank
CS-drivegp1,Drive time to a GP,Drive time (in minutes) to a GP,rank
CS-drivehiedu1,Drive time to a Higher Education Establishment,Drive time (in minutes) to a Higher Education Establishment,rank
CS-drivejcp1,Drive time to a JobCentre Plus,Drive time (in minutes) to a JobCentre Plus,rank
CS-drivelibrary1,Drive time to a Library,Drive time (in minutes) to a Library,rank
CS-drivenursery1,Drive time to a Nursery,Drive time (in minutes) to a Nursery,rank
CS-drivepetrol1,Drive time to a Petrol Station,Drive time (in minutes) to a Petrol Station,rank
CS-drivepolice1,Drive time to a Police Station,Drive time (in minutes) to a Police Station,rank
CS-drivepost1,Drive time to a Post Office,Drive time (in minutes) to a Post Office,rank
CS-driveprimary1,Drive time to a Primary School,Drive time (in minutes) to a Primary School,rank
CS-drivesecondary1,Drive time to a Secondary School,Drive time (in minutes) to a Secondary School,count
CS-driveshopping1,Drive time to Shopping Facilities,Drive time (in minutes) to Shopping Facilities,count
CS-drivesuper1,Drive time to a Supermarket,Drive time (in minutes) to a Supermarket,rank
CS-easrdeathu75f,"European age-standardised death rate per 100,000 population - females aged under 75",EASR death rate u75 females,count
CS-easrdeathu75m,"European age-standardised death rate per 100,000 population - males aged under 75",EASR death rate u75 males,count
CS-easrdeathu75p,"European age-standardised death rate per 100,000 population - persons aged under 75",EASR death rate u75 persons,count
CS-Ecologfootprint,Ecological Footprint (global hectares per person),Ecological Footprint (global hectares per person),count
CS-educrk,"Education, Skills and Training Deprivation Rank","Education, Skills and Training Deprivation Rank",rank
CS-educvig,"Education, Skills and Training Deprivation Vigintile (twentieth's)","Education, Skills and Training Deprivation Vigintile (twentieth's)",rank
CS-electorate,Electorate,Electorate,count
CS-empdeprived,Percentage of working age population who are employment deprived,Percentage of working age population who are employment deprived,ratio
CS-emprk,Employment Deprivation Rank,Employment Deprivation Rank,rank
CS-empvig,Employment Deprivation Vigintile (twentieth's),Employment Deprivation Vigintile (twentieth's),rank
CS-ESA_16to24,Total number of Employment and Support Allowance Allowance claimants aged 16 to 24,Total no. of ESA claimants aged 16-24,count
CS-ESA_18to24,Total number of Employment and Support Allowance Allowance claimants aged 18 to 24,Total no. of ESA claimants aged 18-24,count
CS-ESA_1yrto2yr,Total number people claiming Employment and Support Allowance for between 1 and 2 years,Total no. people claiming ESA for 1-2 years,count
CS-ESA_25to34,Total number of Employment and Support Allowance Allowance claimants aged 25 to 34,Total no. of ESA claimants aged 25-34,count
CS-ESA_25to49,Total number of Employment and Support Allowance Allowance claimants aged 25 to 49,Total no. of ESA claimants aged 25-49,count
CS-ESA_2yrto5yr,Total number people claiming Employment and Support Allowance for between 2 and 5 years,Total no. people claiming ESA for 2-5 years,count
CS-ESA_35to44,Total number of Employment and Support Allowance Allowance claimants aged 35 to 44,Total no. of ESA claimants aged 35-44,count
CS-ESA_3to6mths,Total number people claiming Employment and Support Allowance for between 3 and 6 months,Total no. people claiming ESA for 3-6 months,count
CS-ESA_45to49,Total number of Employment and Support Allowance Allowance claimants aged 45 to 49,Total no. of ESA claimants aged 45-49,count
CS-ESA_50to54,Total number of Employment and Support Allowance Allowance claimants aged 50 to 54,Total no. of ESA claimants aged 50-54,count
CS-ESA_50to59,Total number of Employment and Support Allowance Allowance claimants aged 50 to 59,Total no. of ESA claimants aged 50-59,count
CS-ESA_55to59,Total number of Employment and Support Allowance Allowance claimants aged 55 to 59,Total no. of ESA claimants aged 55-59,count
CS-ESA_60andover,Total number of Employment and Support Allowance Allowance claimants aged 60 or over,Total no. of ESA claimants aged 60 or over,count
CS-ESA_6mthsto1yr,Total number people claiming Employment and Support Allowance for between 6 months and 1 year,Total no. people claiming ESA for 6-12 months,count
CS-ESA_asian,Total number of Employment and Support Allowance claimants whose ethnicity is Asian or Asian British,Total no. of ESA claimants whose ethnicity is Asian or Asian British,count
CS-ESA_Black,Total number of Employment and Support Allowance claimants whose ethnicity is Black or Black British,Total no. of ESA claimants whose ethnicity is Black or Black British,count
CS-ESA_chinese,Total number of Employment and Support Allowance claimants whose ethnicity is Chinese or Other,Total no. of ESA claimants whose ethnicity is Chinese or Other,count
CS-ESA_Cont,Total number people claiming only contributions based Employment and Support Allowance,Total no. people claiming ESA contributions only,count
CS-ESA_Cont_inc,Total number people claiming both contributions based and income based Employment and Support Allowance,Total no. people claiming ESA income and contributions,count
CS-ESA_Credits,Total number people claiming Employment and Support Allowance National Insurance Credits,Total no. people claiming ESA credits,count
CS-ESA_female,Total number of female Employment and Support Allowance claimants,Total no. of female ESA claimants,count
CS-ESA_Income,Total number people claiming only income based Employment and Support Allowance,Total no. people claiming ESA income only,count
CS-ESA_injury,Total number of Employment and Support Allowance claimants whose medical reason for entitlement to Employment and Support Allowance is Injury or Poisoning,Total no. of ESA claimants whose medical reason for entitlement to ESA is Injury or Poisoning,count
CS-ESA_LT6mths,Total number people claiming Employment and Support Allowance for less than 6 months,Total no. people claiming ESA for less than 6 months,count
CS-ESA_male,Total number of male Employment and Support Allowance claimants,Total no. of male ESA claimants,count
CS-ESA_mental,Total number of Employment and Support Allowance claimants whose medical reason for entitlement to Employment and Support Allowance is Mental and Behavioural,Total no. of ESA claimants whose medical reason for entitlement to ESA is Mental or Behavioural,count
CS-ESA_mixed,Total number of Employment and Support Allowance claimants whose ethnicity is Mixed,Total no. of ESA claimants whose ethnicity is Mixed,count
CS-ESA_muscoskel,Total number of Employment and Support Allowance claimants whose medical reason for entitlement to Employment and Support Allowance is Disease of Musculoskeletal System,Total no. of ESA claimants whose medical reason for entitlement to ESA is Disease of Musculoskeletal System,count
CS-ESA_nervous,Total number of Employment and Support Allowance claimants whose medical reason for entitlement to Employment and Support Allowance is Disease of the Nervous System,Total no. of ESA claimants whose medical reason for entitlement to ESA is Disease of Nervous System,count
CS-ESA_notsay,Total number of Employment and Support Allowance claimants whose preferred not to say their ethnicity,Total no. of ESA claimants who preferred not to say their ethnicity,count
CS-ESA_other,Total number of Employment and Support Allowance claimants whose medical reason for entitlement to Employment and Support Allowance is Other,Total no. of ESA claimants whose medical reason for entitlement to ESA is Other,count
CS-ESA_over5yr,Total number people claiming Employment and Support Allowance for over 5 years,Total no. people claiming ESA for over 5 years,count
